time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.99182453385e-08,-6.13503658808e-08,10.003045801,6.28308814,6.28306915383,0.0,7.94904958251e-06,-6.79275447823e-06,0.101522330069,-0.00507308493967,-0.00612009454545,0.0,437.2359751404638,436.72593824716176,437.99508818072604,437.57308382587644
0.12000000000000001,3.766250128e-06,-3.56086306605e-06,10.0119379777,6.28284304855,6.28316367271,0.0,0.000125730066116,-0.000137541535048,0.194871527578,-0.00217813758431,0.0136949692064,0.0,434.2416121922923,435.9003451415099,434.4132306371129,434.6559450603988
0.18,8.81346354908e-06,-1.7986831094e-05,10.0241281717,6.28316920339,0.000953547429583,0.0,-3.84328859617e-05,-0.000331681761278,0.21146515373,0.0174530711528,0.0209323818548,0.0,408.6199193243625,409.26442187253184,409.4440195207567,411.1864773090831
0.23999999999999996,-1.67277692201e-05,-3.44121470251e-05,10.0384297892,0.0010933610209,0.001676970217,0.0,-0.000919722972137,-0.000113138448493,0.265243823822,0.0204900825971,-0.0189468155347,0.0,424.37284645779187,420.9364238837444,421.28450758907815,421.5469426716521
0.3,-0.000109747585137,-6.58083096128e-06,10.0624372029,0.00177648529458,0.000609295156487,0.0,-0.00204079299994,0.00118104388435,0.534915928547,-0.0215589212771,-0.0155844684953,0.0,487.48030073161385,487.7315418781475,489.72586957580285,486.5886393409932
0.36000000000000004,-0.000241630596615,9.83548167115e-05,10.0985705324,0.00103246206047,6.28282237828,0.0,-0.00225315338987,0.00221230891161,0.669458873883,0.00148934965738,-0.0174718868852,0.0,447.9377625949761,447.7843648242979,447.2913187172278,449.1642057994044
0.4200000000000001,-0.000365258444876,0.000252747879582,10.1418102651,0.000921293697221,6.28175475482,0.0,-0.00175953371698,0.00293398427947,0.771801467938,-0.00955390436824,-0.018445250817,0.0,438.6060227548448,438.52525128833526,438.13469741841055,437.2157583470174
0.48000000000000015,-0.00043442828001,0.000447705178057,10.1937930043,0.000106595760722,6.28167607394,0.0,-0.000492546343202,0.00348632834805,0.960816519683,-0.0231723247567,0.0203894073125,0.0,463.40057275838063,466.4428861569745,465.43867390463384,464.37187986851717
0.5400000000000001,-0.000435228411564,0.000653718389953,10.256144742,6.28209570473,6.28279651402,0.0,0.000336071901478,0.00323879228639,1.11743462013,-0.0141448984078,0.0150015373408,0.0,456.1605667153401,455.73010504999036,454.5966604177973,455.31939232624586
0.6000000000000002,-0.000411282063992,0.000825357573224,10.3236747001,6.28110756899,0.000780389796725,0.0,0.000368334876357,0.00240066962561,1.13354793352,-0.0215769870276,0.0272127815721,0.0,411.2061209129985,412.2863179328612,409.98902093351944,409.32828732311094
0.6600000000000003,-0.00041038292099,0.000923820481921,10.3936597199,6.27963054529,0.00232748238573,0.0,-0.000492546963847,0.000748069241764,1.1992186454,-0.0315202390093,0.0227645947466,0.0,426.2244030893139,425.84427363354627,428.7346648521477,427.88897887399986
0.7200000000000003,-0.000499825425678,0.000879133852138,10.470930008,6.27787978499,0.00414963033589,0.0,-0.00267275030886,-0.00244293628671,1.37625989382,-0.0248671389686,0.0423722130243,0.0,461.40468830630084,462.9501561655099,461.8121028424714,462.336306402004
0.7800000000000004,-0.000782249253699,0.000585239981141,10.5622364297,6.27636272165,0.0068114455903,0.0,-0.00707878629772,-0.00754728575924,1.66690754956,-0.0261321187032,0.0480742722291,0.0,495.9707324543198,496.390195635805,494.9171063939792,494.823963333568
0.8400000000000004,-0.00136852712072,-2.42032543308e-05,10.6665963578,6.27459351683,0.0095676867964,0.0,-0.0127689089185,-0.0129459986216,1.81153499422,-0.0372190704653,0.0412802903037,0.0,453.030009942569,452.48463121052646,454.7682908219265,453.8791636207752
0.9000000000000005,-0.00234257302468,-0.000987064615757,10.7782902065,6.27228101349,0.0126345060812,0.0,-0.0199854249693,-0.0193795182717,1.91142615649,-0.0413269584571,0.0657748284954,0.0,438.57006425228843,440.6013021637171,440.7712006292671,440.4308565199977
0.9600000000000005,-0.00380216740851,-0.00237093336569,10.8948021872,6.27011405911,0.0166131774189,0.0,-0.0290475370453,-0.0269701051209,1.97219531228,-0.0273288948545,0.0673623771333,0.0,428.42704425196644,428.5654440925559,426.74950146721744,427.94193140804384
1.0200000000000005,-0.00591147916106,-0.00427126769947,11.0165704906,6.26807376018,0.0208209428597,0.0,-0.0416893303452,-0.036557523904,2.08653558941,-0.0527302144084,0.0751547491356,0.0,444.5985458158839,445.2402219123644,446.60971213145297,444.53257910319167
1.0800000000000005,-0.00889991222093,-0.00681775110211,11.146592414,6.2648957287,0.0252709665641,0.0,-0.0584157533296,-0.0486721650349,2.24720903105,-0.0534452258687,0.0721158783096,0.0,460.1913072546272,459.9548026784115,459.87440346775486,459.81603207017423
1.1400000000000006,-0.012959893219,-0.0101401084428,11.2850497493,6.26149041765,0.0294887915334,0.0,-0.077359687581,-0.0624144300482,2.3677733942,-0.0643659190538,0.0663881339695,0.0,449.3302864828261,448.86943226718745,448.0193102476849,447.12831801855754
1.2000000000000006,-0.0182010872666,-0.0143286085621,11.4292858012,6.25825019281,0.0334177160221,0.0,-0.097729507633,-0.0775407361127,2.43992182798,-0.0387531385435,0.0636063857759,0.0,434.08821205866724,433.8580052563604,432.1623194206369,434.3135370947734
